Season,Week Start Date,WeekEnd,Deaths,Probable deaths,Confirmed and probable deaths,Cases,Probable cases,Confirmed and probable cases,Last updated
2023-2024,2021-12-19T00:00:00Z,2021-12-25,190,14,204,47049,4153,51202,2023-10-19T00:00:00Z
2023-2024,2021-01-31T00:00:00Z,2021-02-06,304,19,323,16470,1415,17885,2023-10-19T00:00:00Z
2023-2024,2021-05-23T00:00:00Z,2021-05-29,34,0,34,1383,186,1569,2023-10-19T00:00:00Z
2023-2024,2021-03-14T00:00:00Z,2021-03-20,90,6,96,11380,1325,12705,2023-10-19T00:00:00Z
2023-2024,2021-10-10T00:00:00Z,2021-10-16,72,3,75,8960,790,9750,2023-10-19T00:00:00Z
2023-2024,2022-05-15T00:00:00Z,2022-05-21,82,25,107,23751,3680,27431,2023-10-19T00:00:00Z
2023-2024,2020-08-23T00:00:00Z,2020-08-29,28,2,30,2114,125,2239,2023-10-19T00:00:00Z
2023-2024,2022-09-04T00:00:00Z,2022-09-10,62,16,78,7211,997,8208,2023-10-19T00:00:00Z
2023-2024,2021-08-01T00:00:00Z,2021-08-07,22,2,24,6999,580,7579,2023-10-19T00:00:00Z
2023-2024,2020-05-17T00:00:00Z,2020-05-23,535,22,557,5949,84,6033,2023-10-19T00:00:00Z
2023-2024,2020-06-28T00:00:00Z,2020-07-04,75,3,78,1091,59,1150,2023-10-19T00:00:00Z
2023-2024,2020-07-26T00:00:00Z,2020-08-01,30,2,32,1896,131,2027,2023-10-19T00:00:00Z
2023-2024,2023-09-24T00:00:00Z,2023-09-30,22,7,29,2638,1055,3693,2023-10-19T00:00:00Z
2023-2024,2021-01-24T00:00:00Z,2021-01-30,391,13,404,20133,1579,21712,2023-10-19T00:00:00Z
2023-2024,2022-05-22T00:00:00Z,2022-05-28,70,17,87,17985,2783,20768,2023-10-19T00:00:00Z
2023-2024,2022-09-11T00:00:00Z,2022-09-17,53,12,65,8915,1211,10126,2023-10-19T00:00:00Z
2023-2024,2022-05-29T00:00:00Z,2022-06-04,61,13,74,13539,1992,15531,2023-10-19T00:00:00Z
2023-2024,2021-09-05T00:00:00Z,2021-09-11,78,4,82,11792,850,12642,2023-10-19T00:00:00Z
2023-2024,2023-09-10T00:00:00Z,2023-09-16,25,3,28,2688,1043,3731,2023-10-19T00:00:00Z
2023-2024,2020-11-08T00:00:00Z,2020-11-14,97,5,102,16744,847,17591,2023-10-19T00:00:00Z
2023-2024,2023-07-02T00:00:00Z,2023-07-08,7,1,8,605,235,840,2023-10-19T00:00:00Z
2023-2024,2021-12-05T00:00:00Z,2021-12-11,150,10,160,30733,2828,33561,2023-10-19T00:00:00Z
